libxft 2.3.3-2
libxi 1.7.10-3
libxinerama 1.1.4-3
libxkbcommon 0.10.0-1
libxkbcommon-x11 0.10.0-1
libxkbfile 1.1.0-2
libxml2 2.9.10-2
libxmu 1.1.3-2
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxshmfence 1.3-2
libxslt 1.1.34-5
libxss 1.2.3-3
libxt 1.2.0-2
libxtst 1.2.3-4
libxv 1.0.11-4
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libzmf 0.0.2-8
licenses 20200427-1
linux 5.7.12.arch1-1
linux-api-headers 5.6.11-1
linux-firmware 20200721.2b823fc-1
linux-headers 5.7.12.arch1-1
llvm-libs 10.0.1-1
lm_sensors 3.6.0-2
lpsolve 5.5.2.5-4
lua 5.3.5-3
luajit 2.0.5-3
lz4 1:1.9.2-2
lzo 2.10-3
m4 1.4.18-3
mailcap 2.1.49-1
make 4.3-3
man-db 2.9.3-1
md4c 0.4.4-1
mesa 20.1.4-3
metis 5.1.0.p8-1
minizip 1:1.2.11-4
mkinitcpio 28-1
mkinitcpio-busybox 1.31.1-1
mlocate 0.26.git.20170220-3
mobile-broadband-provider-info 20190618-2
mpfr 4.0.2-2
mtdev 1.1.6-1
mutt 1.14.6-1
mypaint-brushes1 1.3.1-1
ncurses 6.2-1
neofetch 7.1.0-1
neon 0.31.2-1
net-tools 1.60.20181103git-2
nettle 3.6-1
network-manager-applet 1.18.0-1
networkmanager 1.26.0-1
newsboat 2.20.1-2
nextcloud-client 2.6.5-2
nm-connection-editor 1.18.0-1
nmap 7.80-2
notification-daemon 3.20.0-4
noto-fonts 20190926-4
npth 1.6-2
nspr 4.27-1
nss 3.55-2
octave 5.2.0-5
openconnect 1:8.10-1
opencore-amr 0.1.5-4
openexr 2.5.2-1
openjpeg2 2.3.1-2
openmpi 4.0.4-1
openssh 8.3p1-3
openssl 1.1.1.g-2
openvpn 2.4.9-2
opus 1.3.1-2
orc 0.4.31-2
p11-kit 0.23.20-5
pacman 5.2.2-1
pacman-mirrorlist 20200801-1
pam 1.3.1-2
pambase 20190105.1-2
pango 1:1.44.7+11+g73b46b04-1
pangomm 2.42.1-2
patch 2.7.6-8
pavucontrol 1:4.0-2
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.35-1
pcsclite 1.9.0-1
perl 5.32.0-1
perl-error 0.17029-2
perl-file-which 1.23-4
perl-mailtools 2.21-4
perl-timedate 2.33-2
picom 8-2
pinentry 1.1.0-5
pixman 0.40.0-1
pkcs11-helper 1.26.0-1
pkgconf 1.7.3-1
polkit 0.116-5
poppler 0.90.1-1
poppler-data 0.4.9-2
poppler-glib 0.90.1-1
popt 1.18-1
potrace 1.16-2
procps-ng 3.3.16-2
psmisc 23.3-2
pulseaudio 13.0-3
pulseaudio-alsa 1:1.2.2-2
pulseaudio-bluetooth 13.0-3
pygobject-devel 3.36.1-1
python 3.8.5-1
python-appdirs 1.4.4-1
python-attrs 19.3.0-4
python-babel 2.8.0-4
python-chardet 3.0.4-5
python-dbus 1.2.16-1
python-dbus-common 1.2.16-1
python-docutils 0.16-1
python-gobject 3.36.1-1
python-idna 2.10-1
python-imagesize 1.2.0-1
python-jinja 2.11.2-1
python-markupsafe 1.1.1-4
python-ordered-set 4.0.2-1
python-packaging 20.4-1
python-pygments 2.6.1-3
python-pyparsing 2.4.7-1
python-pypeg2 2.15.2-5
python-pyqt5 5.15.0-3
python-pyqt5-sip 12.8.0-1
python-pyqtwebengine 5.15.0-2
python-pytz 2020.1-1
python-requests 2.24.0-1
python-setuptools 1:49.2.1-1
python-six 1.15.0-1
python-snowballstemmer 2.0.0-3
python-sphinx 3.1.2-1
python-sphinx-alabaster-theme 0.7.12-3
python-sphinxcontrib-applehelp 1.0.2-1
python-sphinxcontrib-devhelp 1.0.2-1
python-sphinxcontrib-htmlhelp 1.0.3-1
python-sphinxcontrib-jsmath 1.0.1-4
python-sphinxcontrib-qthelp 1.0.3-1
python-sphinxcontrib-serializinghtml 1.1.4-1
python-urllib3 1.25.10-1
python-yaml 5.3.1-2
python2 2.7.18-1
python2-dbus 1.2.16-1
python2-gobject 3.36.1-1
python2-gobject2 2.28.7-5
qhull 2020.1-1
qrupdate 1.1.2-4
qscintilla-qt5 2.11.5-1
qt5-base 5.15.0-4
qt5-declarative 5.15.0-1
qt5-location 5.15.0-1
qt5-svg 5.15.0-1
qt5-tools 5.15.0-3
qt5-webchannel 5.15.0-1
qt5-webengine 5.15.0-5
qt5-x11extras 5.15.0-1
qtkeychain 0.10.0-2
qutebrowser 1.13.1-1
ranger 1.9.3-2
raptor 2.0.15-13
rasqal 1:0.9.33-3
rav1e 0.3.3-1
re2 1:20200801-1
readline 8.0.004-1
redland 1:1.0.17-8
rest 0.8.1-3
rhash 1.3.9-2
rtkit 0.13-1
rtorrent 0.9.8-2
run-parts 4.8.6.1-2
rust 1:1.45.2-1
sbc 1.4-2
sdl2 2.0.12-2
sed 4.8-1
shaderc 2020.0-1
shadow 4.8.1-3
shared-mime-info 2.0+1+g6bf9e4f-2
slang 2.3.2-2
snappy 1.1.8-1
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2020.2-1
spotifyd 0.2.24-1
sqlite 3.32.3-1
srt 1.4.1-2
startup-notification 0.12-7
stfl 0.24-5
stoken 0.92-4
sudo 1.9.2-1
suitesparse 5.8.1-1
sundials 5.3.0-1
sxiv 26-1
sysfsutils 2.1.0-11
systemd 245.7-1
systemd-libs 245.7-1
systemd-sysvcompat 245.7-1
t1lib 5.1.2-8
taglib 1.11.1-4
tar 1.32-3
tbb 2020.3-1
tdb 1.4.3-2
texinfo 6.7-3
texlive-bibtexextra 2020.55376-1
texlive-bin 2020.54586-4
texlive-core 2020.55416-1
texlive-fontsextra 2020.55407-1
texlive-formatsextra 2020.54498-1
